smiles,cluster_index
CN1CCN(CCCN2C3=CC=CC=C3SC3=CC=CC=C23)CC1,1
CN1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(Cl)C=C23)CC1,1
CCSC1=CC2=C(SC3=C(C=CC=C3)N2CCCN2CCN(C)CC2)C=C1,1
CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,1
CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,1
CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12,1
CN(C)CCCN1C2=CC=CC=C2SC2=CC=C(Cl)C=C12,1
COC1=CC=C2SC3=CC=CC=C3N(CCCN(C)C)C2=C1,1
CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F,1
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,1
CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,1
CN(C)CCCN1C2=C(CCC3=C1C=C(Cl)C=C3)C=CC=C2,1
CN(CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2)CC(=O)C1=CC=C(Cl)C=C1,1
CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12,1
CN(C)CCCN1C2=CC(Cl)=CC=C2S(=O)C2=C1C=CC=C2,1
ClC1=CC=C2N(CC3CC3)C(=O)CN=C(C3=CC=CC=C3)C2=C1,1
FC1=CC=CC=C1C1=NCC(=O)N(CC2CC2)C2=CC=C(Cl)C=C12,1
FC(F)(F)CN1C2=CC=C(Cl)C=C2C(=NCC1=O)C1=CC=CC=C1,1
ClC1=CC2=C(C=C1)N(CC#C)C(=O)CN=C2C1=CC=CC=C1,1
CCN(CC)CCN1C2=CC=C(Cl)C=C2C(=NCC1=O)C1=CC=CC=C1F,1
FC1=C(C=CC=C1)C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2,1
CC1=NC=C2CN=C(C3=CC(Cl)=CC=C3N12)C1=C(F)C=CC=C1,1
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,1
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,1
CN1C2=CC=C(Cl)C=C2C(=NCC1=O)C1=CCCCC1,1
CN1C2=C(C=C(C=C2)[N+]([O-])=O)C(=NCC1=O)C1=CC=CC=C1F,1
CN1C2=CC=C(C=C2C(=NCC1=O)C1=CC=CC=C1)[N+]([O-])=O,1
CCC1=CC2=C(S1)N(C)C(=O)CN=C2C1=C(Cl)C=CC=C1,1
CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,1
CC1=NN=C2CN=C(C3=C(Cl)C=CC=C3)C3=C(C=CC(Cl)=C3)N12,1
CC1=NN=C2CN=C(C3=C(SC(Br)=C3)N12)C1=CC=CC=C1Cl,1
ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1,1
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,1
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,1
ClC1=CC=C2NC(=O)CN=C(C3=CC=CC=C3)C2=C1,1
BrC1=CC=C2NC(=O)CN=C(C3=NC=CC=C3)C2=C1,1
ClC1=CC=C2NC(=O)CN3CCOC3(C3=CC=CC=C3Cl)C2=C1,1
FC1=CC=CC=C1C12OCCN1CC(=O)NC1=CC=C(Br)C=C21,1
